id,prescribed_retreat_file,calving.vonmises_calving.sigma_max,delta_T,frac_P,surface.pdd.factor_ice,surface.pdd.factor_snow,surface.pdd.std_dev.value,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max,climate,hydrology,ocean,climate_file,salinity,fractures,frontal_melt,ocean.th.gamma_T,ocean.models,ocean_file,surface.pdd.refreeze,sliding_law
10,,399777.87905873137,0.7716989666323517,1.0221977135515576,5.166576592571126,2.719249991971343,1.399958749245339,2.089609,3.3016255,0.7664041,0.01508465,8.86846,43.02151,-327.29596,159.89682,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
11,pism_g450m_frontretreat_calfin_1972_2019.nc,448016.14536758396,-0.47992626071658906,1.0023654785722804,5.652267261657633,2.4790301179218606,5.19363068152788,2.3183947,3.3434508,0.6321556,0.018045157,7.8717127,40.319332,-337.525,123.74964,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
12,,567309.6732430352,0.6520032255681831,1.0055073796546634,6.8862101025266,3.6159817101138216,4.0156999909371285,2.9157693,3.3766615,0.69293344,0.019709297,13.274224,40.853676,-288.80463,99.53406,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
13,pism_g450m_frontretreat_calfin_1972_2019.nc,472208.6267084334,0.17372660502072002,1.0181170407042641,6.1429376819182755,1.2357475107857487,4.5761722779588325,2.640228,3.2803428,0.766336,0.019966362,5.969506,43.14012,-386.826,257.63596,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
14,pism_g450m_frontretreat_calfin_1972_2019.nc,592601.2719519252,-0.048086360553025176,0.9836284344027229,9.726918989131491,4.997790195946338,2.2326463287182765,2.0831108,3.3121848,0.70613563,0.0141971875,7.1674514,42.807346,-372.63037,138.88835,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
15,,389817.7548271939,0.8669940261392373,0.9933202231155525,9.069205062356659,3.8637014520934065,1.622669686926177,2.0675209,3.3259206,0.621246,0.018134061,7.301594,43.592045,-571.95355,382.78278,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
16,,528213.6975747043,0.08852357833667535,0.9894291754517438,8.602906632437813,1.3318694012994565,2.5236851158466083,3.162585,3.3448334,0.8047166,0.018766435,10.370526,42.708378,-279.24,274.969,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
17,,367752.5254262766,-0.8733395898346005,0.9850644608389421,7.5530721961274665,4.3829747247913495,5.727563203621506,2.5597715,3.2844992,0.70606554,0.02348471,8.589707,40.727806,-411.29922,356.73804,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
18,pism_g450m_frontretreat_calfin_1972_2019.nc,504890.35449243814,-0.6149661344589734,0.9785260331901167,5.414319359211586,1.8009515978312898,1.80492826498716,3.2969317,3.3241963,0.7149143,0.01883932,5.75776,42.472115,-406.05124,85.27718,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
19,pism_g450m_frontretreat_calfin_1972_2019.nc,352674.3478835146,-0.32498437504274813,1.0139189596486013,11.113705286391157,2.134373292095554,5.419841930345916,2.5793147,3.3295634,0.823193,0.013286009,5.502138,44.016273,-515.6637,124.94082,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
