id,calving.vonmises_calving.sigma_max,ocean.th.gamma_T,ocean_file,calving_file,climate_file,frontal_melt.routing.parameter_a,frontal_melt.routing.parameter_b,frontal_melt.routing.power_alpha,frontal_melt.routing.power_beta,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max
10,445958.2582209756,8.42229801065102e-05,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.0003504863364932402,1.4464358339470733,0.6654053481578037,2.158930172439844,2.6705842,3.2321663,0.7740334,0.02078552,6.8507524,44.772152,-252.1186,156.1757
11,521969.3352540677,0.00010298855010861029,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,3.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.00034445463556981434,1.0668981475381438,0.371884928656844,2.527425473741701,2.636169,3.3311155,0.78408045,0.015766937,6.493533,43.827347,-397.92746,322.17148
12,464473.51800475095,0.00014032651214950344,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,1.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.0002602223886883769,1.1611456468446124,0.6148868292780165,2.664387231578324,2.7192893,3.3199916,0.71818936,0.020803414,5.011258,40.441967,-377.7571,102.10031
13,531964.7625456189,0.0001339545838691417,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,0.0,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.0002520026534520733,1.5867763960968022,0.4426678362958344,1.2544351384238557,1.9633111,3.3817182,0.85656154,0.0162004,5.3083553,44.896076,-729.7532,472.00885
14,543792.8496286379,0.00010598080643531207,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,3.0,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00033433398140882424,1.6952172053406698,0.3130876154442676,2.3980655205308605,2.4063933,3.3278108,0.80978703,0.019914187,9.626951,41.587013,-306.6431,218.32817
15,589639.3943810072,0.00014944179141542201,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,4.0,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00031938343439221134,1.6615492008476496,0.36247319296857083,1.9958405093123623,2.8142238,3.3128967,0.7133012,0.023073144,7.7496448,41.59181,-288.57663,336.4316
16,555694.2898112963,0.00011753983334373197,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,3.0,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00029604072121302937,1.4951081612380923,0.6413851365383316,2.5599623754951875,2.9378858,3.3255806,0.63830817,0.018961603,11.498708,44.304417,-338.10675,242.03368
17,385698.4175104556,0.00011013024415707287,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,1.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.00031271662506838946,1.6428031296687442,0.33778581049688783,1.525195763742175,3.0644815,3.332154,0.66121334,0.018152647,6.3994613,42.686916,-447.70026,152.59943
18,615619.404398588,8.859417287137718e-05,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,0.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.00026475643365116673,1.315747706984791,0.5955540605197756,1.3365387171425938,2.7574553,3.2474396,0.7534793,0.024494434,5.165638,41.476547,-357.42123,529.6097
19,626927.1382571866,0.00014384396310761276,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,0.0,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.0002752111658207235,1.017175691193764,0.4829130324992203,1.9101562873052953,1.7481883,3.3427906,0.8310543,0.0126377335,5.5046883,43.16593,-470.8518,308.26587
20,403422.54977978487,9.460256894663712e-05,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,5.0,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00035842337082722675,1.372820301698626,0.6244373641018213,2.660908689684062,2.856465,3.2998283,0.68307805,0.022275094,5.7977724,41.008907,-446.80762,309.7428
21,449137.17521805066,0.00012783433904256747,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,4.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.0002907007865091389,1.3613382632409272,0.4661644726112749,2.078602243307778,2.670242,3.3728933,0.83021533,0.020257277,6.1917324,41.054287,-373.1629,271.42194
22,482128.8185098351,7.777484482130005e-05,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,4.0,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00033627219046560594,1.522886344366968,0.40220829919064294,2.7451180266853576,2.5567157,3.3186836,0.7774044,0.017133007,7.545709,40.94925,-460.73453,204.95808
23,363349.31863536953,0.00011317671558221508,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,1.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.0003289713221404475,1.407691644028367,0.5421224779603291,2.3620972975171046,2.279629,3.353383,0.77871275,0.019230654,5.674558,42.989094,-453.28833,340.11975
24,516972.8408363789,9.722297772690063e-05,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,2.0,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00030185512701704664,1.6069105653585103,0.6681081309803225,2.199367942881511,3.126894,3.3462734,0.82373655,0.021421814,5.9930882,44.40636,-313.90634,403.52072
