id,calving.vonmises_calving.sigma_max,delta_T,frac_P,surface.pdd.factor_ice,surface.pdd.factor_snow,surface.pdd.std_dev.value,prescribed_retreat_file,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max
14,486969.79953239183,1.980861041903033,0.97633723663639,5.717718492427928,3.4644868005006995,6.7170566624150805,pism_g450m_frontretreat_calfin_1972_2019.nc,2.8264549,3.3511715,0.7519491,0.015657017,10.736613,42.394833,-293.2808,24.91941
15,385894.0664216336,-1.6377710923903996,0.9114770800507493,9.658909695925047,1.6340236928599852,3.2157872121419273,pism_g450m_frontretreat_calfin_1972_2019.nc,2.3582587,3.2816129,0.75313467,0.014762367,9.352806,44.52318,-246.55319,204.39836
16,698661.935441615,-1.217291130195301,0.9980803340206771,6.0015109751028985,3.564160739786965,2.4713906139684125,pism_g450m_frontretreat_calfin_1972_2019.nc,2.5909843,3.2672305,0.62023884,0.021079488,8.500719,44.69424,-418.7609,344.22043
17,647500.1804455495,1.371838281042462,1.009273469940798,5.366849926850696,5.3302782731619045,3.848267678797835,pism_g450m_frontretreat_calfin_1972_2019.nc,2.9454079,3.3045888,0.64498806,0.020396046,5.818439,40.66615,-455.76678,316.42053
18,611076.1459048358,-1.9282142591635811,1.0663680507253264,6.3706443627432705,4.714778518204207,3.716555100738849,pism_g450m_frontretreat_calfin_1972_2019.nc,2.3527868,3.2883835,0.5955323,0.02158765,6.8056173,42.975533,-525.5128,519.1085
19,608362.911903443,1.9141008324245044,0.9401724646264001,6.907605227015133,1.0067164296943913,2.351312234520151,pism_g450m_frontretreat_calfin_1972_2019.nc,3.2263942,3.318891,0.8364327,0.027042877,5.7844896,43.631268,-357.6353,634.6218
20,424161.57469865336,-1.4526031646053608,1.0138114600964117,7.722111129932992,2.09219968410084,6.002152613740005,,3.2315166,3.314315,0.78971964,0.021534864,7.465958,44.059044,-224.59647,90.44561
21,535906.2891825162,-0.5704735009139208,0.9584576937188616,6.228990357428783,5.631083654815131,5.338112676699881,,2.7595558,3.246797,0.71861005,0.017895725,8.334898,41.135086,-214.35298,140.76047
22,572611.5323346277,0.8894548553860835,0.9393771164611509,5.043619435734558,5.9479238808913415,5.853567445920014,,2.3888042,3.283533,0.7169043,0.017674785,7.2419376,42.714993,-399.81055,225.08719
23,686082.3076175658,1.581929603264169,0.913558819786108,6.501705920920124,5.549215929826865,6.214361605508653,,2.136322,3.2969124,0.7449784,0.015654746,9.538724,41.17278,-424.48077,354.3602
24,679331.0880963453,1.7093085742475265,0.9025114729822205,6.645097976665996,3.7995102119230175,4.721639176605551,,2.3235974,3.2767618,0.5915276,0.018145347,6.954045,41.140385,-524.833,334.81946
25,653223.9176394164,-0.11898174015696639,0.988660395947798,6.776749375060245,2.5321653066781207,6.382680962903363,pism_g450m_frontretreat_calfin_1972_2019.nc,2.5394413,3.267524,0.7087966,0.019013498,7.5497766,42.490402,-502.85397,360.2174
26,617301.1919326577,-0.3693930536983665,1.0531491218408737,5.876763175531334,4.179495738949727,5.6146818259008775,pism_g450m_frontretreat_calfin_1972_2019.nc,2.384604,3.278711,0.7461628,0.013781946,5.8924,42.985767,-441.89496,193.5561
27,432144.94520103245,-1.5289492773653295,0.9481662544798994,4.4739458087821875,4.868463539077997,3.944500717640459,,2.6896102,3.3230104,0.73865265,0.017630404,7.4196987,43.817623,-411.36734,385.34378
28,434179.9446713158,-0.964075714492924,0.9607773228999453,8.807852510395792,4.9205669573143815,2.8984307262661564,pism_g450m_frontretreat_calfin_1972_2019.nc,2.9353807,3.368838,0.7879146,0.017872,11.319976,41.66902,-344.51697,221.16399
29,510346.8187065808,-0.6931736660602736,1.022608763507372,9.425524517645567,2.3673224025992954,5.499779936618723,,2.4456396,3.308558,0.8155819,0.019202976,7.2079577,41.218174,-345.4807,375.40036
30,493956.45155863196,0.7088805513141581,1.0338137127908926,8.55076057042952,4.264495173914701,4.449742123824074,,2.8810303,3.3011148,0.5868698,0.017555756,5.9882293,41.00521,-572.0343,157.5452
31,441819.72492072347,-1.4111348024632004,1.0985799469781201,8.2209808811993,5.873828613403782,4.353419021769703,pism_g450m_frontretreat_calfin_1972_2019.nc,3.2642953,3.3165781,0.7571496,0.018621484,9.976308,44.16353,-89.74622,88.700615
32,373269.2154737978,-1.100519082704889,0.9734218174948712,7.616129694045836,3.2447632802291477,5.53314690754112,pism_g450m_frontretreat_calfin_1972_2019.nc,2.4144375,3.4004097,0.70771766,0.01819811,15.190733,44.22082,-443.6867,246.97995
33,628327.9694646887,1.4861452710707805,0.9716940127104438,7.258346692485431,1.5290266477620547,4.173451332291803,pism_g450m_frontretreat_calfin_1972_2019.nc,2.2140105,3.2519174,0.84074426,0.015402629,7.0551023,42.564285,-315.57523,176.65434
34,559291.7367686192,1.819433544558824,1.0869979261718803,7.006784148999927,2.7846695372087367,2.167522299713814,pism_g450m_frontretreat_calfin_1972_2019.nc,2.938846,3.3433094,0.8116891,0.017938001,9.329024,43.569633,-294.87888,326.5462
35,360972.64278889116,-0.5303689544581276,1.0929503757865862,4.611406967582065,5.155958186480719,5.246072807387607,pism_g450m_frontretreat_calfin_1972_2019.nc,2.2125897,3.323495,0.8117557,0.01584789,8.37477,42.264687,-335.5634,115.71867
36,539233.4170227349,-1.899292791303534,1.024297743435147,7.400910011354268,2.4633051760516587,3.5573235053899173,pism_g450m_frontretreat_calfin_1972_2019.nc,2.1480033,3.3523104,0.8312487,0.01775025,7.7848015,41.04397,-362.49716,184.99666
37,549049.5417836942,-0.9003839184105238,0.9866476476831528,7.911230267292829,1.8720498728800739,4.9760192075416985,pism_g450m_frontretreat_calfin_1972_2019.nc,2.138518,3.370675,0.68719244,0.018412203,8.722719,41.650948,-468.97696,415.01953
38,659118.0707813508,0.4457413993795556,0.9325362083098127,8.637920019963088,3.902367533179024,6.906205401233431,,2.579109,3.301235,0.5864882,0.01640354,5.8258862,43.314804,-545.2618,155.16853
39,368583.6061676699,1.1698905689681292,0.9242768447919284,7.981372046301874,2.165422209139667,5.098538950934011,pism_g450m_frontretreat_calfin_1972_2019.nc,3.1761575,3.3950768,0.76897526,0.01826121,6.3922844,44.72081,-340.48355,141.85146
40,354616.7131502828,-1.3186926505591197,1.077955352091904,7.197509384441181,3.8698488410643415,4.508437323963948,pism_g450m_frontretreat_calfin_1972_2019.nc,2.6107826,3.3206215,0.74576044,0.016920589,5.3083043,43.071865,-449.03903,208.63968
41,642869.9483745554,1.0901833231058773,1.0385066537941527,9.126236976899424,5.0831741340842465,3.6335452335526224,,2.8220055,3.3285146,0.6525467,0.018638756,7.1644287,42.0605,-525.842,329.8791
42,669792.2170099714,-0.002726395190204567,0.9457733960181216,9.012203227002193,3.0220764608839255,5.777818672477693,,2.8619244,3.3295171,0.6366994,0.016511325,9.7318325,42.433563,-417.32175,150.08879
43,676011.4004115437,1.252987316266327,0.95468321011849,7.532245502799421,3.354811774403603,3.0738325758912013,pism_g450m_frontretreat_calfin_1972_2019.nc,2.8083358,3.2760155,0.72179514,0.019050486,5.114496,42.215393,-477.28928,327.33997
44,409695.16479212785,0.4917001558522278,1.082758834992131,8.738911708564,1.9671695390534092,6.497074162708879,pism_g450m_frontretreat_calfin_1972_2019.nc,3.0224524,3.2330608,0.64595383,0.020175165,6.2646637,44.6594,-378.16394,310.00336
45,480500.56659200654,-1.7803591824571043,1.0192597265748122,6.128307954685743,1.2975343637782062,2.2235502353965524,,2.9256794,3.2959392,0.67914414,0.014356157,6.706237,43.477615,-444.64545,125.598305
46,524144.27740211895,0.9844439085680965,0.9937796261752649,9.987701934034803,1.1292534689422271,5.181544811266322,,2.2046933,3.2640953,0.7434248,0.017076483,8.524793,41.758568,-388.26532,270.03174
47,593721.6997680678,0.593774601789264,1.0575856306079348,6.590283665025761,1.3819832701737695,4.62188005423849,,2.7485502,3.326273,0.7516273,0.019562924,8.980517,44.16943,-243.3257,148.52574
48,415916.08406549797,0.20746080799225197,1.0315610055402997,9.382749768095113,4.066984773853353,2.9543793884500493,pism_g450m_frontretreat_calfin_1972_2019.nc,2.6150498,3.3300402,0.89543676,0.015373835,6.7751575,43.10015,-393.19843,126.27285
49,394761.88764322345,-0.8078556926818754,1.0682893548586363,4.320502754117347,4.442397010340955,6.685221196733559,,2.5866814,3.2220542,0.7328496,0.026487,9.289258,40.82872,-44.944725,218.90378
